Date,Close,Open,High,Low,Volume,SMA_20,SMA_50,Signal_SMA,ADXP,ADXM,ADX,APO,MFI,Signal_MFI,SAR,RSI,Signal_RSI,UltimateOScillator,Signal_UO,upper,middle,lower,Signal_BB,WMA,Signal_WMA,EMA,Signal_EMA,DEMA,Signal_DEMA,STOCH,Signal_STOCH,Close_1,crecimiento,precios_lead1,target
2023-04-14,165.21,164.59,166.32,163.82,49386480,,,1,,,,,,-1,,,0,,0,,,,0,,0,,0,,0,,0,165.23,1.0000237018930485,1.0014639073613303,1
2023-04-17,165.23,165.09,165.39,164.03,41516217,,,1,,,,,,1,163.82,,0,,0,,,,0,,0,,0,,0,,0,166.47,1.0014639073613303,1.0013576359035168,1
2023-04-18,166.47,166.1,167.41,165.65,49923008,,,1,,,,,,1,163.85139999999998,,0,,0,,,,0,,0,,0,,0,,0,167.63,1.0013576359035168,0.9988552048826915,1
2023-04-19,167.63,165.8,168.16,165.54,47720166,,,1,,,,,,1,163.993744,,0,,0,,,,0,,0,,0,,0,,0,166.65,0.9988552048826915,0.9980787087046576,0
2023-04-20,166.65,166.09,167.87,165.56,52456377,,,1,,,,,,1,164.24371936,,0,,0,,,,0,,0,,0,,0,,0,165.02,0.9980787087046576,1.0003675623537964,0
2023-04-21,165.02,165.05,166.4521,164.49,58337341,,,1,,,,,,1,164.4786961984,,0,,0,,,,0,,0,,0,,0,,0,165.33,1.0003675623537964,0.9981439747434604,1
2023-04-24,165.33,165.0,165.6,163.89,41949581,,,1,,,,,,-1,168.16,,0,,0,,,,0,,0,,0,,0,,0,163.77,0.9981439747434604,0.9999880232319646,0
2023-04-25,163.77,165.19,166.305,163.73,48714063,,,1,,,,,,-1,168.0746,,0,,0,,,,0,,0,,0,,0,,0,163.76,0.9999880232319646,1.0054918269365594,0
2023-04-26,163.76,163.055,165.28,162.8,45498796,,,1,,,,,,-1,167.900816,,0,,0,,,,0,,0,,0,,0,,0,168.41,1.0054918269365594,1.0014655168570306,1
2023-04-27,168.41,165.19,168.56,165.19,64902329,,,1,6.755000000000024,2.5999999999999943,,,,1,162.8,,0,,0,,,,0,,0,,0,,0,,0,169.68,1.0014655168570306,0.9998966576243672,1
2023-04-28,169.68,168.49,169.85,167.8801,55275851,,,1,7.369500000000014,2.339999999999995,,,,1,162.8,,0,,0,,,,0,,0,,0,,0,,0,169.59,0.9998966576243672,0.998790145194233,0
2023-05-01,169.59,169.28,170.45,168.64,52472936,,,1,7.232550000000007,2.1059999999999954,,,,1,163.08200000000002,,0,,0,,,,0,,0,,0,,0,,0,168.54,0.998790145194233,0.9987345246660574,0
2023-05-02,168.54,170.09,170.35,167.54,48425696,,,1,6.509295000000006,2.9953999999999903,,,,1,163.52408000000003,,0,,0,,,,0,,0,,0,,0,,0,167.45,0.9987345246660574,0.9980543867901579,0
2023-05-03,167.45,169.5,170.92,167.16,65136018,,,1,6.428365499999998,2.6958599999999913,,,,1,163.93963520000003,,0,,0,,,,0,,0,,0,,0,,0,165.79,0.9980543867901579,1.008973105880969,0
2023-05-04,165.79,164.89,167.04,164.31,81235427,,,1,5.785528949999998,5.276273999999987,,,36.132726042706814,-1,170.92,51.7344497607655,0,,0,,,,0,,0,,0,,0,,0,173.57,1.008973105880969,0.9999217743602329,1
2023-05-05,173.57,170.975,174.3,170.76,113453171,,,1,12.466976055000018,4.748646599999988,,,46.97014278173221,1,164.31,67.84663479220296,0,,0,,,,0,,0,,0,,0,,0,173.5,0.9999217743602329,0.9980564620700476,0
2023-05-08,173.5,172.48,173.85,172.11,55962793,,,1,11.220278449500016,4.2737819399999895,,,47.49270238196295,1,164.31,67.62788577229657,0,,0,,,,0,,0,,0,,0,,0,171.77,0.9980564620700476,1.0020089127955716,0
2023-05-09,171.77,173.05,173.54,171.6,45326874,,,1,10.098250604550014,4.3564037460000105,,,41.837162260285886,1,164.5098,62.28320802839505,0,,0,,,,0,,0,,0,,0,0.8512352491859941,-1,173.555,1.0020089127955716,1.0002177705027337,1
2023-05-10,173.555,173.02,174.03,171.9,53724501,,,1,9.57842554409502,3.9207633714000094,,,48.306808156440006,1,164.70560400000002,65.32795993261263,0,,0,,,,0,,0,,0,,0,0.9484481611758971,-1,173.75,1.0002177705027337,0.9986787439731687,1
2023-05-11,173.75,173.85,174.59,172.17,49514676,168.23375,,1,9.18058298968552,3.5286870342600083,,,54.84745611742419,1,164.89749192000002,65.65415132065424,0,,0,174.21654281669527,168.23375,162.2509571833047,0,,0,,0,,0,1.0005884523034927,1,172.57,0.9986787439731687,0.9994366741415118,0
2023-05-12,172.57,173.62,174.06,171.0,45533138,168.60174999999998,,1,8.262524690716969,4.345818330833994,,,54.48043138394867,1,165.28519224320002,61.86147775633395,0,,0,174.72290559265835,168.6467261904762,162.57054678829402,0,,0,,0,,0,0.9881584415386393,-1,172.07,0.9994366741415118,1.0,0
2023-05-15,172.07,173.16,173.21,171.47,37266659,168.94375,,1,7.436272221645272,3.911236497750595,,,55.10966415649844,1,165.657384553472,60.27265206233832,0,,0,175.02650502825742,168.9727522675737,162.91899950688997,0,,0,,0,,0,1.0326622883956493,1,172.07,1.0,1.0006986747749167,1
2023-05-16,172.07,171.99,173.1383,171.7991,42110293,169.22375000000002,,1,6.692644999480745,3.5201128479755357,,,60.43905262626602,1,166.01468917133315,60.27265206233832,0,,0,175.34932790726515,169.2677282420905,163.18612857691585,0,,0,,0,,0,1.0698706388922434,1,172.69,1.0006986747749167,1.002634877776206,1
2023-05-17,172.69,171.71,172.925,170.4201,57951604,169.47675,,1,6.023380499532671,4.547101563178002,,,52.92447979248954,1,166.35770160447981,61.687744268516234,0,,0,175.7834400633733,169.59365888570093,163.40387770802857,0,,0,,0,,0,1.0284168726173277,1,175.05,1.002634877776206,1.0001216235853843,1
2023-05-18,175.05,173.0,175.24,172.58,65496657,169.89675000000003,,1,7.736042449579402,4.092391406860202,,,53.62208045570882,1,166.68699354030062,66.56917622674474,0,,0,176.5537523483587,170.1133104203961,163.67286849243348,0,,0,,0,,0,0.9504802033380351,-1,175.16,1.0001216235853843,0.9989361020417441,1
2023-05-19,175.16,176.39,176.39,174.94,55809475,170.40375,,1,8.112438204621439,3.6831522661741816,,3.2331730769230376,53.918551293390024,1,167.2001739278826,66.78162453267208,0,,0,177.0190038877536,170.59394752321552,164.16889115867744,0,,0,,0,,0,0.9402828420265366,-1,174.2,0.9989361020417441,0.9970406199872943,0
2023-05-22,174.2,173.98,174.71,173.45,43570932,170.84725,,1,7.301194384159295,4.804837039556773,,3.5882371794871517,54.14549198500808,1,167.93536001365197,63.01777305922992,0,,0,177.1670179636715,170.9373810924331,164.7077442211947,0,,0,,0,,0,0.9814309079390875,-1,171.56,0.9970406199872943,1.0003169626607216,0
2023-05-23,171.56,173.13,173.3794,171.275,50747263,171.23675,,1,6.571074945743366,6.499353335601079,32.981639666258744,3.1772756410256022,55.02911976534315,1,168.61173121255982,54.00378329068254,0,,0,176.49985563406503,170.99667813124898,165.49350062843294,0,,0,,0,,0,1.1095311834388346,1,171.84,1.0003169626607216,1.001296006089289,1
2023-05-24,171.84,171.09,172.4183,170.52,45143488,171.64075000000003,,1,5.913967451169029,6.604418002040966,30.98307513595014,2.8324038461538237,57.41575402778736,1,169.23399271555502,54.74317885760433,0,55.86587339547855,0,175.6331997439242,171.07699449970147,166.52078925547875,0,,0,,0,,0,1.342670068271781,1,172.99,1.001296006089289,1.0027179658743854,1
2023-05-25,172.99,172.41,173.895,171.69,56058258,171.86975,,1,6.799270706052148,5.94397620183687,29.70536297560372,2.7279166666666583,53.94804966087218,1,169.8064732983106,57.747404930502334,0,55.479764839708665,0,175.64017849761274,171.2591854997299,166.87819250184708,0,171.508311827957,-1,169.82916666666668,-1,,0,1.3775633770823428,1,175.43,1.0027179658743854,1.002051987120365,1
